tweet_id,term
228,hiddenfigur
228,therealtaraji
228,octaviaspenc
228,janellemona
229,poallovato
229,demi
229,lovato
229,na
229,pai
229,oscar
229,organizada
229,pela
229,vaniti
229,fair
230,chrismurphyct
230,night
230,dream
230,just
230,happen
230,oscar
230,actual
230,happen
230,elect
230,night
231,rmarab
231,oscar
232,theskorpion
232,black
232,film
232,won
232,best
232,pictur
232,slaveri
232,maid
232,involv
232,make
232,film
232,oscar
233,deadlostboi
233,can
233,believ
233,final
233,oscar
234,softsoiac
234,real
234,life
234,disnei
234,princess
234,right
234,oscar
235,iamsteveharvei
235,good
235,morn
235,everybodi
235,went
235,sleep
235,earli
235,last
235,night
235,miss
235,oscar
236,lusca
236,paraben
236,oscar
236,por
236,ganhar
236,viola
236,davi
236,oscar
236,oscarnaski
237,oscar
238,constancequeen
238,obama
238,economi
238,censu
238,bureau
238,treasuri
238,hollywood
238,touch
238,never
238,bash
238,obama
238,award
238,show
238,oscar
238,whywewon
239,garfield_bra
239,andrew
239,na
239,pai
239,da
239,vaniti
239,fair
239,oscar
240,time
240,academi
240,award
240,winner
240,justin
240,hurwitz
240,oscar
241,moviememorl
241,internet
241,real
241,winner
241,bestpictur
241,oscar
242,krupnan
242,chrisevan
242,oscar
242,robust
242,adj
242,captiv
242,adj
242,flawless
242,adj
242,http
243,merylnoma
243,meryl
243,streep
243,red
243,carpet
243,th
243,academi
243,award
243,last
243,night
243,oscar
244,nakuulmehta
244,tubelight
244,bestpictur
244,oscar
244,go
244,beingsalmankhan
245,cevansoffici
245,throught
245,year
245,oscar
245,vanityfairpai
246,rayliotta
246,just
246,heard
246,happen
246,last
246,night
246,oscar
247,thisispach
247,________
247,oscar
248,britishvogu
248,show
248,stop
248,scarlet
248,gown
248,ultim
248,look
248,last
248,night
248,oscar
249,varieti
249,emma
249,stone
249,reaction
249,backstag
249,oscar
250,rayliotta
250,just
250,heard
250,happen
250,last
250,night
250,oscar
251,chriscoon
251,thank
251,robe
251,stand
251,presid
251,cave
251,liber
251,elit
251,trumpwinsusa
251,oscar
251,maga
252,fiftyshadesen
252,hq
252,pictur
252,jami
252,vf
252,pai
252,oscar
253,oneperfectshot
253,moonlight
253,dp
253,jame
253,laxton
253,director
253,barri
253,jenkin
253,oscar
254,yahoostyleuk
254,divin
254,isabel
254,hupp
254,look
254,glitzi
254,armani
254,gown
254,oscar
254,oscar
255,iamsteveharvei
255,good
255,morn
255,everybodi
255,went
255,sleep
255,earli
255,last
255,night
255,miss
255,oscar
256,theacademi
256,well
256,said
256,benj
256,pasek
256,oscar
257,whitehelmet
257,won
257,oscar
257,real
